,Titres,Prix Broché,Prix Kindle,Prix Poche,Prix Relié,Nombre de pages Format Broché,Nombre de pages Format Poche,Nombre de pages Format Relié,Dimensions Format Broché,Dimensions Format Poche,Dimensions Format Relié,Evaluations (sur 5),Nombre d'évaluations,Liens
66,"LAISSE-TOI GUIDER: LTG, mon programme de rééquilibrage alimentaire","23,00",None,None,None,204,None,None,20.32 x 1.17 x 25.4 cm,None,None,"4,4",655,https://www.amazon.fr//LAISSE-TOI-GUIDER-programme-r%C3%A9%C3%A9quilibrage-alimentaire/dp/1088841120/ref=sr_1_85?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672778&s=books&sr=1-85
67,Dash minceur,"18,00",None,None,None,300,None,None,20.9 x 1.8 x 15 cm,None,None,"3,8",17,https://www.amazon.fr//Dash-minceur-Anne-Dufour/dp/B07XW7DHKV/ref=sr_1_86?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672778&s=books&sr=1-86
68,Mieux manger toute l'année - 2020,"19,90","14,99",None,None,456,None,None,19.3 x 4.4 x 25.1 cm,None,None,"4,5",1504,https://www.amazon.fr//Mieux-manger-toute-lann%C3%A9e-2020/dp/226316247X/ref=sr_1_87?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672778&s=books&sr=1-87
69,"Le Minceur: Plus de 100 pages - Moins de Kilo - Livre de Recettes à Remplir - 8,5 × 11 pouces - Un Grand Format pour Maigrir","5,99",None,None,None,120,None,None,21.59 x 0.71 x 27.94 cm,None,None,None,None,https://www.amazon.fr//Minceur-Recettes-Remplir-pouces-Maigrir/dp/B08924C48N/ref=sr_1_89?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672778&s=books&sr=1-89
70,Eaux détox,None,"5,99",None,"7,99",None,None,72,None,None,21.5 x 1.2 x 21.5 cm,"4,4",186,https://www.amazon.fr//Eaux-d%C3%A9tox-Jessie-Kanelos-Weiner/dp/2501115139/ref=sr_1_90?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672778&s=books&sr=1-90
71,Cuisine detox - super facile,"6,95","4,49",None,None,192,None,None,19.2 x 1.8 x 20.1 cm,None,None,"4,3",10,https://www.amazon.fr//Cuisine-detox-facile-Zoe-ARMBRUSTER/dp/2263148973/ref=sr_1_95?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672778&s=books&sr=1-95
72,"Jus détox, Eaux détox & Smoothies détox: 50 Recettes détox pour perdre du poids, gagner de l’énergie et être en bonne forme - Eaux infusées, Smoothies minceur et Jus détox (Recettes boisson détox)","7,99","2,99",None,None,120,None,None,20.32 x 0.71 x 25.4 cm,None,None,"3,8",14,https://www.amazon.fr//Jus-d%C3%A9tox-Eaux-Smoothies-Recettes/dp/1095698230/ref=sr_1_96?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672778&s=books&sr=1-96
73,Granolas et mueslis,None,"5,99",None,"7,99",None,None,96,None,None,18 x 1.5 x 21 cm,"3,9",9,https://www.amazon.fr//Granolas-mueslis-Soizic-Chomel-Varagnes/dp/2016269006/ref=sr_1_97?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672778&s=books&sr=1-97
74,Le meilleur régime du monde: Le meilleur régime du monde : Dietary Approaches to Stop Hypertension,"18,00","12,99",None,None,384,None,None,14.81 x 2.21 x 20.8 cm,None,None,"4,0",109,https://www.amazon.fr//DASH-meilleur-Dietary-Approaches-Hypertension/dp/B011QKRTIS/ref=sr_1_99?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672778&s=books&sr=1-99
75,"En 1 heure, je cuisine mes lunchs box pour toute la semaine","19,95",None,None,None,160,None,None,19.7 x 1.7 x 25 cm,None,None,"4,3",218,https://www.amazon.fr//heure-cuisine-lunchs-toute-semaine/dp/2017084581/ref=sr_1_100?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672778&s=books&sr=1-100
