,Titres,"[Formats, Prix]",Nombre de pages Format Broché,Taille du fichier Kindle,Nombre de pages Format Poche,Nombre de pages Format Relié,Dimensions Format Broché,Dimensions Format Poche,Dimensions Format Relié,Evaluations (sur 5),Nombre d'évaluations,Liens
172,Mon cahier minceur printemps-été,"['Broché 7,90']",96,None,None,None,17.2 x 0.9 x 22.2 cm,None,None,"4,4",35,https://www.amazon.fr//cahier-minceur-printemps-%C3%A9t%C3%A9-H%C3%A9l%C3%A8ne-DEFRETIN/dp/226317043X/ref=sr_1_147?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672783&s=books&sr=1-147
173,Simplissime: Le livre de cuisine le + facile du monde,"['Format Kindle 14,99', 'Relié 19,95']",None,100838 KB,None,384,None,None,20.5 x 4.7 x 25.5 cm,"4,4",1741,https://www.amazon.fr//Simplissime-livre-cuisine-facile-monde/dp/2013963653/ref=sr_1_148?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672783&s=books&sr=1-148
174,Batch Cooking équilibre,"['Relié 20,00']",None,None,None,171,None,None,17.8 x 2.3 x 24.8 cm,"4,2",94,https://www.amazon.fr//Batch-Cooking-%C3%A9quilibre-Pascale-Weeks/dp/2379450110/ref=sr_1_149?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672783&s=books&sr=1-149
175,"Mes 100 recettes IG BAS - A compléter, cuisiner et savourer: Carnet, livre et cahier de cuisine à écrire, remplir & compléter soi-même I Noël I Idée ... et favoriser la perte de poid (amaigrissant)","['Broché 11,96']",105,None,None,None,21.59 x 0.61 x 27.94 cm,None,None,"3,5",5,https://www.amazon.fr//Mes-100-recettes-BAS-amaigrissant/dp/B08F65S89R/ref=sr_1_150?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672783&s=books&sr=1-150
176,Régime IG bas pour débutants: Guide pratique de la cuisine IG bas super facile avec 45 recettes IG bas pour tous les jours ; Manger mieux pour vivre mieux (livre indice glycémique bas),"['Broché 7,99', 'Format Kindle 2,99']",72,,None,None,15.24 x 0.43 x 22.86 cm,None,None,"3,5",37,https://www.amazon.fr//R%C3%A9gime-bas-pour-d%C3%A9butants-glyc%C3%A9mique/dp/B08D4VPYXK/ref=sr_1_151?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672783&s=books&sr=1-151
177,Mon Régime Paléo: 4 semaines de recettes pour découvrir le régime Paléo,"['Broché 14,66', 'Format Kindle 5,33']",196,: Illimité,None,None,20.32 x 1.14 x 25.4 cm,None,None,"4,1",22,https://www.amazon.fr//Mon-R%C3%A9gime-Pal%C3%A9o-semaines-d%C3%A9couvrir/dp/1537643452/ref=sr_1_152?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672783&s=books&sr=1-152
178,Petit livre de - Minceur express en 140 recettes (LE PETIT LIVRE),"['Format Kindle 1,99', 'Broché 6,91']",160,1899 KB,None,None,8.8 x 1.2 x 12.1 cm,None,None,"4,2",65,https://www.amazon.fr//Petit-livre-Minceur-express-recettes-ebook/dp/B00I95H5KG/ref=sr_1_153?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672783&s=books&sr=1-153
179,100 recettes et menus: RECETTES INEDITES A INDEX GLYCEMIQUE BAS,"['Broché 20,50']",256,None,None,None,17 x 2 x 21 cm,None,None,"4,3",71,https://www.amazon.fr//100-Recettes-menus-Michel-Montignac/dp/208120181X/ref=sr_1_154?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672783&s=books&sr=1-154
180,Les soupes minceur,"['Broché 14,90']",127,None,None,None,16.6 x 1.4 x 24 cm,None,None,"3,5",2,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_stripbooks_sr_pg10_1?ie=UTF8&adId=A0556997VDYLSCU7TF07&url=%2Fsoupes-minceur-Philippe-Chavanne%2Fdp%2F2359345575%2Fref%3Dsr_1_155_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672783%26s%3Dbooks%26sr%3D1-155-spons%26psc%3D1&qualifier=1618672783&id=953491179082755&widgetName=sp_mtf
181,Le régime DASH,"['Broché 14,90']",105,None,None,None,16.5 x 1.2 x 24.1 cm,None,None,"3,8",39,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_stripbooks_sr_pg10_1?ie=UTF8&adId=A0549785CTHEXVNE1QVC&url=%2Fr%25C3%25A9gime-DASH-Michel-Brack%2Fdp%2F2359345079%2Fref%3Dsr_1_156_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672783%26s%3Dbooks%26sr%3D1-156-spons%26psc%3D1&qualifier=1618672783&id=953491179082755&widgetName=sp_mtf
182,"Le Minceur: Plus de 100 pages - Moins de Kilo - Livre de Recettes à Remplir - 8,5 × 11 pouces - Un Grand Format pour Maigrir","['Broché 5,99']",120,None,None,None,21.59 x 0.71 x 27.94 cm,None,None,None,None,https://www.amazon.fr//Minceur-Recettes-Remplir-pouces-Maigrir/dp/B08924C48N/ref=sr_1_157?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672783&s=books&sr=1-157
183,Ma cuisine légère au quotidien: La meilleure façon de rester mince,"['Broché 14,90']",224,None,None,None,19.3 x 1.9 x 24 cm,None,None,"4,2",22,https://www.amazon.fr//Cuisine-l%C3%A9g%C3%A8re-quotidien-meilleure-rester/dp/2081487942/ref=sr_1_158?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672783&s=books&sr=1-158
184,"L'assiette du sportif: Recettes équilibrées avant/pendant et après l'effort, Conseils nutritionnels pour être au top, Idéa","['Format Kindle 14,99', 'Broché 19,95']",192,145220 KB,None,None,20.6 x 2.3 x 24.2 cm,None,None,"4,5",253,https://www.amazon.fr//Lassiette-sportif-Recettes-%C3%A9quilibr%C3%A9es-nutritionnels/dp/2011356245/ref=sr_1_159?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672783&s=books&sr=1-159
